Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Berczy Park,Coffee Shop,Cocktail Bar,Beer Bar,Farmers Market,Pharmacy,Cheese Shop,Bakery,Restaurant,Seafood Restaurant,Butcher
"Brockton, Parkdale Village, Exhibition Place",Café,Coffee Shop,Breakfast Spot,Grocery Store,Bakery,Bar,Italian Restaurant,Restaurant,Climbing Gym,Burrito Place
"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",Light Rail Station,Yoga Studio,Auto Workshop,Gym / Fitness Center,Garden Center,Garden,Fast Food Restaurant,Farmers Market,Comic Shop,Pizza Place
"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",Airport Service,Airport Terminal,Airport Lounge,Harbor / Marina,Sculpture Garden,Plane,Rental Car Location,Boat or Ferry,Bar,Airport Gate
Central Bay Street,Coffee Shop,Italian Restaurant,Sandwich Place,Café,Burger Joint,Salad Place,Bubble Tea Shop,Thai Restaurant,Ramen Restaurant,Portuguese Restaurant
Christie,Grocery Store,Café,Park,Athletics & Sports,Italian Restaurant,Restaurant,Baby Store,Candy Store,Coffee Shop,Nightclub
Church and Wellesley,Coffee Shop,Japanese Restaurant,Sushi Restaurant,Restaurant,Gay Bar,Yoga Studio,Café,Men's Store,Mediterranean Restaurant,Hotel
"Commerce Court, Victoria Hotel",Coffee Shop,Restaurant,Café,Hotel,American Restaurant,Gym,Italian Restaurant,Seafood Restaurant,Deli / Bodega,Japanese Restaurant
Davisville,Sandwich Place,Dessert Shop,Sushi Restaurant,Italian Restaurant,Coffee Shop,Gym,Thai Restaurant,Café,Pizza Place,Brewery
Davisville North,Hotel,Park,Pizza Place,Food & Drink Shop,Sandwich Place,Department Store,Breakfast Spot,Gym / Fitness Center,Doner Restaurant,Deli / Bodega
"Dufferin, Dovercourt Village",Pharmacy,Bakery,Grocery Store,Supermarket,Middle Eastern Restaurant,Music Venue,Pizza Place,Pool,Portuguese Restaurant,Café
"First Canadian Place, Underground city",Coffee Shop,Café,Hotel,Restaurant,Gym,Japanese Restaurant,American Restaurant,Seafood Restaurant,Asian Restaurant,Salad Place
"Forest Hill North & West, Forest Hill Road Park",Jewelry Store,Trail,Mexican Restaurant,Sushi Restaurant,Wine Bar,Department Store,Escape Room,Electronics Store,Eastern European Restaurant,Donut Shop
"Garden District, Ryerson",Coffee Shop,Clothing Store,Café,Middle Eastern Restaurant,Bubble Tea Shop,Cosmetics Shop,Japanese Restaurant,Fast Food Restaurant,Diner,Ramen Restaurant
"Harbourfront East, Union Station, Toronto Islands",Coffee Shop,Aquarium,Hotel,Café,Scenic Lookout,Brewery,Italian Restaurant,Fried Chicken Joint,Restaurant,Music Venue
"High Park, The Junction South",Café,Mexican Restaurant,Thai Restaurant,Grocery Store,Bakery,Speakeasy,Bookstore,Cajun / Creole Restaurant,Music Venue,Diner
"India Bazaar, The Beaches West",Sandwich Place,Park,Fast Food Restaurant,Liquor Store,Fish & Chips Shop,Pub,Ice Cream Shop,Sushi Restaurant,Burrito Place,Italian Restaurant
"Kensington Market, Chinatown, Grange Park",Café,Vegetarian / Vegan Restaurant,Vietnamese Restaurant,Dessert Shop,Coffee Shop,Mexican Restaurant,Grocery Store,Comfort Food Restaurant,Gaming Cafe,Caribbean Restaurant
Lawrence Park,Park,Swim School,Construction & Landscaping,Bus Line,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant,Donut Shop,Doner Restaurant
"Little Portugal, Trinity",Bar,Café,Vegetarian / Vegan Restaurant,Asian Restaurant,Restaurant,Vietnamese Restaurant,Men's Store,Coffee Shop,Korean Restaurant,Italian Restaurant
"Moore Park, Summerhill East",Park,Gym,Deli / Bodega,Ethiopian Restaurant,Escape Room,Electronics Store,Eastern European Restaurant,Donut Shop,Doner Restaurant,Dog Run
"North Toronto West, Lawrence Park",Clothing Store,Coffee Shop,Yoga Studio,Sporting Goods Shop,Fast Food Restaurant,Diner,Mexican Restaurant,Pet Store,Chinese Restaurant,Café
"Parkdale, Roncesvalles",Gift Shop,Breakfast Spot,Restaurant,Bookstore,Dessert Shop,Coffee Shop,Eastern European Restaurant,Italian Restaurant,Bar,Cuban Restaurant
"Queen's Park, Ontario Provincial Government",Coffee Shop,Sushi Restaurant,Yoga Studio,Diner,Smoothie Shop,Italian Restaurant,Beer Bar,Sandwich Place,Burrito Place,Discount Store
"Regent Park, Harbourfront",Coffee Shop,Café,Park,Bakery,Pub,Theater,Breakfast Spot,Electronics Store,Spa,Beer Store
"Richmond, Adelaide, King",Coffee Shop,Café,Hotel,Restaurant,Gym,Deli / Bodega,Thai Restaurant,American Restaurant,Steakhouse,Lounge
Rosedale,Park,Trail,Playground,Dance Studio,Escape Room,Electronics Store,Eastern European Restaurant,Donut Shop,Doner Restaurant,Dog Run
Roselawn,Ice Cream Shop,Music Venue,Garden,Home Service,Discount Store,Department Store,Dessert Shop,Diner,Wine Bar,Deli / Bodega
"Runnymede, Swansea",Café,Coffee Shop,Pizza Place,Sushi Restaurant,Pub,Italian Restaurant,Yoga Studio,Sandwich Place,Bar,Indie Movie Theater
St. James Town,Coffee Shop,Café,American Restaurant,Cosmetics Shop,Cocktail Bar,Clothing Store,Department Store,Farmers Market,Gastropub,Restaurant
"St. James Town, Cabbagetown",Pizza Place,Coffee Shop,Restaurant,Pub,Italian Restaurant,Bakery,Café,Grocery Store,Chinese Restaurant,Sandwich Place
Stn A PO Boxes,Coffee Shop,Seafood Restaurant,Italian Restaurant,Japanese Restaurant,Cocktail Bar,Beer Bar,Café,Restaurant,Hotel,Creperie
Studio District,Coffee Shop,American Restaurant,Brewery,Gastropub,Café,Bakery,Yoga Studio,Ice Cream Shop,Bank,Bar
"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",Coffee Shop,Pizza Place,Liquor Store,Restaurant,Bank,Pub,Bagel Shop,Supermarket,Sushi Restaurant,Fried Chicken Joint
"The Annex, North Midtown, Yorkville",Sandwich Place,Café,Coffee Shop,Park,Cheese Shop,Burger Joint,Middle Eastern Restaurant,Indian Restaurant,Flower Shop,BBQ Joint
The Beaches,Pub,Trail,Health Food Store,Asian Restaurant,Wine Bar,Distribution Center,Department Store,Dessert Shop,Diner,Discount Store
"The Danforth West, Riverdale",Greek Restaurant,Coffee Shop,Italian Restaurant,Furniture / Home Store,Bookstore,Ice Cream Shop,Grocery Store,Pub,Pizza Place,Lounge
"Toronto Dominion Centre, Design Exchange",Coffee Shop,Hotel,Café,Salad Place,Restaurant,American Restaurant,Seafood Restaurant,Japanese Restaurant,Italian Restaurant,Beer Bar
"University of Toronto, Harbord",Café,Bar,Italian Restaurant,Japanese Restaurant,Bookstore,Bakery,Yoga Studio,Pub,Beer Bar,Beer Store
